ISPIRI|CSR1D	1	1266181146804471:v:A
ISPIRI|FFR1D	1	2514139862420499:r:B
ISPIRI|ISR1	1	1260750987347487:v:A
ISPIRI|ISR5	1	3156874361307145:v:A
JAPANRACING|JR21	1	26542715645371462:r:B
JAPANRACING|JR23	1	1526071325699012:r:B
JAPANRACING|JR28	1	3528119860688994:r:B
JAPANRACING|JR33	1	553678909936621:v:A
JAPANRACING|JR34	1	844896777630466:v:B
JAPANRACING|JR6	1	1703231860878755:r:B
JAPANRACING|SL02	1	1489789928209045:v:A
JUDD|JSF8	1	328053586547572:v:A
LEXANI|DEVOE	1	600114811953815:v:A
MAK|SPECIALE	1	2030361680839779:r:A
MRR|HR3	1	1409935386018410:v:A
NICHE|SERENE	1	865975373221485:r:A
OEMS|ES2	1	1264661513623101:v:B
OEMS|ES5	1	1263853503703902:v:A
PLATIN|P107	1	791302166665594:r:A
PLATIN|P109	1	1696276461352214:r:B
PLATIN|P95	1	923435619759411:v:A
QUANTUM44|S4	1	1062684203820834:v:A
R3WHEELS|R3H07	1	1037811995253783:r:B
RIVIERA|RF1	1	700005081643347:v:A
RIVIERA|RF101	1	190169426329693:v:A
RIVIERA|RF107	1	1280971092264512:v:A
ROHANA|RF2	1	1191555250933728:v:A
ROHANA|RFX5	1	1189805051108748:v:A
ROMAC|RADIUM	1	1449231506977540:r:A
ROTIFORM|CCV	1	1419887448100506:v:A
ROTIFORM|DTM	1	4327425857531529:r:A
ROTIFORM|JDR	1	853788089932007:v:A
RUEDA|ME42	1	1973321469937799:r:A
SEVENTY9|MF9	1	883982067868628:r:B
SEVENTY9|SCFB	1	710376140267436:v:A
SEVENTY9|SCFK	1	935702072335354:r:A
SEVENTY9|SCFP	1	1051528640572404:r:A
SEVENTY9|SCFS	1	2456017804836989:r:A
SEVENTY9|SCFU	1	812217651360038:r:A
SEVENTY9|SVN	1	26333257703026062:r:A
STROM|STR4	1	3648929838580766:r:B
TOMASON|TN8	1	1265669140189005:v:A
TSW|BATHURST	1	582333075575402:v:A
XDWHEELS|XD137	1	902469595976858:r:B
YOTA|YP7	1	1619275912586327:r:B
